1045624290041716726,-7294799691407652895,9080686323237865543,788280599523379685,-8194572543587719581,-2810926343720068140,7472274313547570984,5225338851944328881,5518079493143824139,5673798589463814556,
5645163207740156470,-1465396728698468596,1626740614253053034,-6466050852035055052,-5081355380893551022,1551121294659461828,-696565703644740481,1408153423021231282,5253494137809823575,-8589896508626372889,
7302669871612366821,502421139281713733,-7646460259379381130,-1417728794271694847,-1473471353159320564,-6243876031415727667,8621317188034921256,9119277251245189600,-4522532263746104213,4249850946267398588,
-6179050138755162001,-4486347147249620284,-4809797060835687101,7260879669415320991,1854174358684716943,1610548967517917571,3333473506664478610,-6123913821478511304,775180356417243572,8552679563940598748,
-8904877262183401858,-5494072296557038170,8714565380775824682,8477055876818680723,2385060896579621674,-5275972397839887469,6010335309977124144,273615964539747909,75828239504447420,-1560536701467304505,
-8802971854079626695,-1479695267373793155,1025362555571540689,-5739693686713993518,-2049106835085733819,-2452746528578939322,6166781130498507029,3399009307049296369,3734073923004274664,4707789848655538969,
-1256068785469324391,8251620978466694401,9130559914803123514,-5548325293197904290,6950247540067033807,887598850752040657,2805261254867794511,9081579685869390138,-4293941263838404754,-3176249165195654559,
6315729654313718731,-4987282288562255960,6721951685241362930,1988752153009816058,4445357947325062704,-7729467733803146848,3034894092634896252,-9100215119432078945,-3896422916205886592,3272993679828525894,
-5886020750598104754,6212258043345778476,-2504670329518463099,-3399279791049114428,8967699185581345914,-3087164101181067226,2627688196329928959,-7247061952274428150,-8620369619757033427,-5460775066081360394,
4676741967838310519,-1084090924384291291,8012183105278539282,7165251237519978511,7304038514700627941,-3293985156722746874,4437304317186510421,-3592723528387352625,-8927602295629686505,3205712970620030169,
